col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
wV0B6NQzuG6QsEJjxJsdQzG47db9iPHUMy00yBgwI3BFHgWBrM465FVAqPDu7dRN5DhThz4BKhvdKzMAjN1pd398Ss2j8xK4q4dD,mvcdPvKmzLAW71j63AvOQ5fVGBGsOXHo3nffaAXP2zQZ2RzFVCbJ2hP6QeLatZ2eixPWq7qq3RPFQbRblCNjJwzvLaltBnK1R952,d8SX4xE56oYDrOJKXD4YZj6WL4HUyJkz8pu8bXwxj4Omlyk9AGlMEw6xSAwN8bA5lC5mMrvNO1mlvcGc552FC8qH9oeMQS98VD6x,k0ALFK559lPvMTZbJVK5R6XNcjGq49u7l5aZP3ekzWdT2m4ahJtskhkO0sf0J279L7IfEkZUjxU3tKyZzVo1nHB8SsXelP0edE70,EuDC6rfyQBgUTHu6ymvGPTkPP5Z8jRyP49hiu3qjT9kEx66O3qHWeIjfCYMrMMLwngmyRjuKXtLgWcxvetqcOG4uYyXVZwAc0Yy0,jvDZmTQippMCPLvZNMgRFS8DNoq34l1qxz7RxBJNtlAb2hJjSgYXtdorefbXweE0XCPmkeK5iqYuaCrCcg8BzdawAWUooqST7nyy,f3DAlZb46hZlDYDEc7klJEy00gdKlcNmr4bICMdj1kWfKJzCD5Ch5yPliAr17YkZvRM9bI5d0Z0uHAesccxYMY70tnDnCBWKtIsA,i74m2M0pYS6pkcO0zcliZeHUXVfbyJEz9Fa510tGgArCR2Qiz42qYaoIO6C6E3lzQBkUhTH9KkMO1TbRaxylEEf65jebR57EQvyf,dnEzX3vZHSB5VG2FFfUFsLxwEk0zk5stgR2txTHnnB6vtS4vq03S1LqUCtN7Eeh26wtB2lVgKAAnM0uOekA9TamPwsbfxPnZDK3w,dl1SeTx8HoPthnwgEEmSmJlHl4nhr9VKAxD7K28EArzzZWKKE9vQ8URgtNIR7NmCt6KhGyXR5q5DpAWeimS7s0GkcA8OrjezIlvo
CkfdG0Cx1igs24ZtSHf61fbZln5zyDUOgDBJByYH6H4GbXymSSKyZNBa1BTkVkf3nXk8afdyLjiZMmPcHZSKQz5O5EPN7VGxK9BM,NO3C5wmZaE35AoERDe5TJVRLOO1jP4GNBKu0xQO0oNbQnUxLVPNmwcT35J40ZUVdsHR5ks6vcSbhCHq0SQfKs5C6UpaIo2ODTGwc,5dGkBunRqD5x0XXMTDtdzec6cHcPHfcIWDVQvm89enZYBLrVfp6Cv5avYhs9UTplJjUR5bx5RHfn9r7HJUVps51jpFa1OX2gm3PJ,26CPGRBKOOAOQWuHqqrN2ODDik3aXClNen9kaH7VAMc7cPTwK6wmrCHvwj8CWg6eyqi3PQ5hXf5Pp4Uj8pGpghMFHb0q1ShWtQzh,6KsqtFKxgrYK3y30NdFKBoBWZ1FEEfMcGDX3MU55gA0zauOjcfyqgROkMW55Sd4a7UEnHjc7ZwDrsJ8MSDJr4fQBWOHYTPUo29YU,DYU6JJ5J6uXM1haqq1wueMa9yJVrylfITouM5TYBSZEsfhXCdflm27TUf9cWIWLdrHeDj6GPIXLiFMA7x9EV0grBQMa1fB8tPZVp,9ObxE3NN4hIr180PKPEle0eabuRNQluePe6ZrV8VZWsnMBBKShBriZ2CjB1q7SCkOh596RVLX3xLE2M599sKrQhwj9uj5SDyLXlO,QgAbP3Gca4EIxZMu0oKALB4bR2ba5cIqsxNNtEm9iRwg2tRSGKA2b3NjtSch3EvjJ0TduGD3zItAN3DEkaFvRyph2mGppdCdCKgz,X6GuZpAXPg2zWsIbn0dOEC6peuDmPhYnl57mavyQm2zfnCV62L5YrJnZrdrQySulsIuEIET1Qi72c7IrGWNthuuGMv6sak2T4k16,La5FrkwoA5OgQ30msYmLqSWhBHQ1jKno35FNgBaWqvuMA97nbkGlOorS5gYh3fHd3uZDfMHvNHkqePGsKPsw8bY3U2CvAhMp1WwR
rdW3MXdlECTo1NCDTFblszXMslKlEdQQliFYOusA2nVaAk1a7a8Nzbs9D47ZLUOqnM1VpNpuCcn8yNJNPGbAhxVzWrafY4q415Pv,4kA2UI094TG0j9afpMemhQtPuRuaqMlxwmtu5JQFkAsYbcc5h4ahS98heI1MLdU42SWt6FIcztAGCzKbCjEugrKzOGSDtq9unKjq,UPWpnHge32w4viGaSdRWhqcwXWjIMYX1pM5u2BsnYr0qnKKl6IQ7Ryix6iaq1WCr1yE1v65rsNvpEkWAzFFZG4mmPU3lgWr89P51,m0C4RpTA202sO4iUECO4TipRQn6q60gH0tznMxjZTB45p8WcDK0xsbCZ95MAsNNnLy6azusyBIxbVR57JVGTpvZiIdhVDXuqmFsY,kkvPoCBgN159kfa1hol4asR378ID616yHEKaaz4X4qZY2p4p3yoZzSDH8aKY1RCRdODTt1vuFLOnh7MjwNxH72Sn8QGd3xaZ67a6,AHMbgaSfhzKMy2ozCtgBp6iya730mqrhYs1LKN3nfEsTawJFcvvuFZNWVgpnmrYdEnbNfsg9vbhd4xMPxqSPu0UzPvX3jR2ewcM9,w4hJ0O7VnCwBYyHupVwkjmqioTYMdtNFjAXIPNthc1GVAxn2SAloqK6cZfojXB4d0pQ6XqzDo8ZTSBIZZ9tiiulV3suKvVvXBhoO,0wzialEIB1zf7YXvatkQi8KkajfPDz8G0s2OTPl8xdvb9TuE3ciGnjhOoAlnspMlEiw2X7pHTHo6CqfJ8BWz4w6WdoO0fhS0uqlY,Ez4XyuVbvhTpanYYjjGQnBCsUcDiTp7nCUZgmTg7jVlWowWMvBiZ6CF4Gbr5TCyLTDmgaulrwYfhwS8gdFbanWvBmi6p0W6nV72s,OvsEHpjucPQ8e7gu5TcFMyPC4sjvENeIXb04KHT2PawRRleFLIdk9IzQS2TBLiI01ZubdFF2WVX2tAVPOcNe6GVAU40MHfB5AkUO
ONiijdwpW3jNSfI8FDv7iXbULBNZZVn2WFKLFA1ZhO5h7pZWOBgl1JZX7qfb92YIRnovwSptZrUuw1a9sy7cmJF0BI3IHx5d9voh,KOrUTqY6vQ6E8Gs9CUsDoo1TDUK1ewpxLwh6Drikfd1WESFPcRQLxtMtL6t6AD9IXlq86vDwZr4eCcysuoNxQmrcEQpNr0OZyb03,CVskBbPHrwLi4I04o5aYYO83mZw445d6xN5wEok9UBAQ69t5Rk27ZHHLRtKCcETopnaZBQ9zPHhjrEkHJ1IKgBVAX3hnk1K5U6JG,o7UGjLrhhC8WgbUIicrivpSfdNebhRXSFxUYeQywMJvfCOAsEeqk82sLzJaxA2yLEVRVmtk2O4eKWBfCpoy2DpC5rlMZUhpsliS9,ZTftnSoTJhHKHYrkekkJiccQKk0yNgv79id49LvRznoiMWGknsLUzKEZ6fPTBSOSbmBazqD6EWJ2KVJ3lGV9ihvjoctR3FZ3O9W6,lBJemWDcm0d5xQXID5jc4QzrXi1R3KELbn90ESnjJ5MNgxEEwmn0mwVCrv20P7wnmJRf9D4hnf6BT5uUsRNcMVtla6nAak94yUOP,PLdbe8c2szEWYEUdObQQI5BN0yyLvkBZS7hag3tvS5IY7Mw3P0uG5AQjY6RLNI0MDsXYJVX8ySBzPCB9bBwBB9E6lJh9teP6iOAE,ldWf94Ha87cKtpig8L1wr8njhj88zTxWW34oRoLajj3oEoxnBzyLFsXM7ZxoC5gcC2mB5TjsferrWsZ7SkdG0CvMd7VP4OInycp4,OxhiRYPIaif1g8IACTVgrIdcp5bYhYnxE3uhzzsfsWBh6nT0KNRBKrBfoAXjgmUDd7dXRxn1zbtywbsMDcH51BGjtJzQAAwJaIT6,blXwpfcVGTs1AySpimtZe4h5P9zS7XZeMYBYH4Nx8fn2opfVfJ9YgkPwqEgINrhZ2mkpw6Mz0DKAGtMFwxiUypbClEk6rCJIjg85
IiOqHvaTbEfmdjd9eVtEnaWncIAiBWH3X1bEp0FMYLrGpMir0muot1IW9m40RTr7T1Jh68Ux739knc3Ujyt5Lf6u6c8LeU9x521W,6H9CSMnKmDw9Cb1996nR58S9E8sDO32B8GMYC6Ngvz2UjttONgAw0M4VGewr9FP9O3EUv3UmgO7nL7malbVQqbFjmWlo4Xz0cBf6,oyTx09jOXueWpIkT2pivtjYnhYXumRaugxEQTdfYzGwJKUlMQsnuvhSZ0VZfjzfG0KxbGyczBexlmAOgqSSpwtJ7rytv54X09aNf,2xk5AnZ7FoHJ8vOKjJrj2rE3fnrg8AtkHdE9N4MvmbGYfao1eTBrJf6j1cIWqxOc5eYk73HoT0ey2JPFv3Qv2E71P9F0N802tViC,pNreylezDcTPUz1Zecna1gBgmbWrfH4aMqgKqL5DJrMi1fqvIrBu3tGekkvT6D4T8ra5fdz84tJArPpTLJ7MWX2zWVgXlwzrWv0M,3q6mUlA2HUbv0fHtU77XVGLxowufDjoXMU1CuuE7uDNXKPXzdroziVrwox11PhwGTymWOMeMg1UlllJY0R3bgNJLqBpH1GD2NJUD,FyYZGDnEE8sNB5szh6FMLkNxoXvfCwAkej4u6uQZ7NXRcG7Y4HvAAOyr6wHKhASnE01a30JIyynDFArWDROev07vxEDtAxWZR8jE,KbhaArppBJhBwUS6NnSW4sQCVrc4n4vAkw6iTzm3IjVPNq39Z7UkCWUK4tehPmlluKBmi0RNpSWCDscOQoIp00lY1ngWsDaAoIAH,i7zGPSYEUwdCfeTht093x3YhAXqrHeguRIk9iobesAv9vTVPFLDrGyMSje9nXQ30b4QLpjczBsCj4TsszuJ1nY7f3KzmLq3oUnc5,7Fju3ZrxHHs8USePVxHlJtmP8TB6eIj12XMiguHtmR3dzcMsU8L8I5qFc57QcpDRYcIGw7jEuqlLbSxVW0ozrSrBO8D0ftxgaqCi
IwzJ7zIYKVvzozMwDIEsuvjoOUuBakRtOaMulpeYb1YjAT4SabJa21P5e6BoulOgVWRli07cyNTba8F1xLRPEHp4KzyktGGRdcKU,CnFimKeZMdf99qrcwVdfEPuyF99F7OOStzieTiaz4ebG9mkqjF3aF06hEPKP2TTJEwDFWmYpo104Kud34xX2uezinntJtZEO8dwb,C1lNPNmWpKInlDIx9nYfWOPlMUvKqhv6VxFuDOnHLurgfFxwgq6gDd2sOi6EAtK6OTZBIpbTc4N3FpS7r9BKsSxUPGXom5gHmtKR,eivDkt7TRcfDOdFcCOy2HOHYYRX1a3HHO9JIK2tO7BScsOovFuOgL1hmAgckG5DoaFZhVVjfid0cZ40DMfTRS4Au6uLOb22dZkSf,v8OH6I4aBzeq4sqQrll8cLbjZCCfBkhX4hu02wR1gQvKl3J7jHF7UnXdqLWgXMYMpcxJnl7rYxdPXTkDwlYyDiwVjre2YhsFcYkS,AzBSIHjqdzTbsU2qBc8YEG72rHv2x8qbSjt61lqyXnOutGgHZHTKC5jTyTPwGT2ZLDv8h4mnre41Qof8wrBaE908Os69ofxvRrlk,SpHj9tvk3DLffI4WYoOOrmP4Qg3Opyckx4JcwBslKTGVhON0Q9LomYObJSO5e67nodVXi3ovn4lbpmo6Ysz1IhH5Zlw54oNGabEt,vk6pczuBq7r5OTzmXj9qtVcagrgZjyhrkpR6If6iVBGMQqLw3SGIxpwMYJpTYAnENpqfW5KCHgJKCpMY7RsMCAqvt7LtutICS8xt,xonRT0GA8DqcHkkWRxX6JI4JjC62uj4eGWKBY6gSoGNFqodFkBCuJEdAXq175K08u3OeFCffnI8fisVaaUqBvr5GgFUq9S1M2G70,6ssoPrni36q8T7taRLpVRSagtaE8SNv3dxoOAqCr4POeQitY4db2iRyAb8ojI8Pn7xCwT2l3T1bNi0z4adVrl84e4SumWE5DzzVJ
ZGX3c6i90PcSns7BhwYUEX4SYks8F64TcY0texVmsS1ogqsKHHAbaSOcQsxNvv6QdHUKRsN6qzPc4VZiTaK9sT14p4g0FSfkIMCK,tH0ma2NijBKPGPb3hsdqqta5kjS8UjgjYoGr7Auvojg3a0SDcRcTOiDoFZHk5D03Nn6rlJv2dN09wfl4KZWGD7HrGiXn8OXubTRR,C1iXP7s486n5hwslxn038C4HULNioedPY9Psq7fEbucAMyoS8CU3FiYCnDX22jAGWvozh9iAm0FJROjdTexxmkCBOKx7jbF5mg5i,nX5cYc2wOafOnavinJRqh8hU5ACC6JitMKW6jlet3k3tZuGmvurqktNDJkLSxVtJmk4HVBNuJaOMSeajFnrnneZPUe4yC8t2Rhr8,Qugxx2NhoSfGAVC8GPkHiOMcSmyih9nXE0O1L6ldCGD9PsZc0nABeZrNh2P8ny6ORHc68CIb1YJm3mpM7W3y51qa9bx7ISIqwBBw,785VWsYFhKZBfhrQ5FqDXohuMCsFrUk1WKYivtFwdHfqt8EJ22FH5FauAwuUtDO8KxS88wi3xWmWyys47abpz2NTcD8O8DAdtSWY,JVFnrRgZj1WTP6BQa0uDPodnbkiiFUXoB54GZZ3Uq4wWGjBj8TP7PFmE0WKlLSxRdKPGTstPb68lLmxTX28NlpcxL8KMTQnV9v87,qroIBnr6C7wWRsQTpuJkneI13MrC35NGWRke7YCimz5IpyWzJ03Es8rNQDTjaaGnCf4dzozxX0CAzeu0DftwIUlXsA6x2wIeVupQ,0gGcC2ZA3qCMCUZ3OzBkp9Y6lzCpVdDjolabXZrhNi1W8ReAYs0zb8iI4d4kzEAPsarbzGQXTP1rYqcrgIXZuLsWH2ECWuFxrLez,Dl5WHEBhcAn2n3qZ5w7bHHWzLsUvCTbdEmucRt2mg6kjONalW5Itkh8AG84EErdDOJDuXFYwMrOVLJjzha7gC7NFSWFF12tIjG1R
A8CfzTHPJYOAdLDaUsmgx9eY62NNGbgWikjESne80Iu5NGPh68w1juvGizsAgQ1osEnptGs7AFFHLIMtv3dE9pBY5bRTBxqiw96L,WEMzhzFRacCvxzHE8QAsY7NMN9QsABvEQiIQMs8ag7tHhIrW3183ntkOjKBnax0Qbq4turRySO6zDU1mcDYT6xky1RT3zW9AYymZ,KKRRGUXpST6WDTiCLws232sFo4Eb6tVUqshNLxd6SeYy8lkBOtdYvujjEus4QSaWGhP41peJR2fIipA9EbtoQGqLvts2Itj5uiVq,QB7YIfoBBcwfoPpdWpR3GD20ivfoGOJ4FYbDNvZ8cz1jvgZGMfdeYuB8UFqeIvEJ7BmTqjtHOrb0sg4KD4yvfQJJYPQs2588eny2,AgIGqP6i8aYORH3G4kzzmdKxXZIFKzuOxMWMJkMqpNKvef6JKLjLb78gP3uptVgdJh8yWvavfmM0cLopAbLGivGoF2V64saNPEDM,9RtLVvhvy1SdGxTOMqIoyVB1kqqwsWh1Y5xFO8G654jW9LxUsLrWPKhzhO33GEcXUNe854dhGrQbvZuCVyGbmj11fOErhqr3sEMV,fEqeA4DyYsiUy2N9FwuNTVBhDqXp54eSz541XmVSmDaLRdvAwXovmpbjpWObFzK7OlJ1fcirgX4EO1JqaelTwQoiqQe0Xmknxv9t,OZ0IN1EV4dU2JVg69oAj2amXXzJYsOpA0YbknHJi4dHJpIqpQefMkZImf6v1zXRov51OAPZYkAlbZRiV7LHzvhTgHAAjY5XqoQGx,nlHFZOn4FgAI7eEk5c5WPYncC7sHq6ysLMcyKjKK9aVkLoar8ovqB4oVDav0gr247MQ8ssZd6WWG4SGxXuPnCYLuIhSA9AX7yN9i,Z9OCqMq9uQAMn4uQgZeRyyqJqPGDjQQm6avLBjYnh1yyMK2dVEqKON5nARCmJWZWnlEEzlDjeR7rFekNS48ClTcPn5aGryuY02go
LKI7Hm6cVwPO4YdyLNJwDZBUFVZ7ywHPLkQyD2M8mbAa40E9U97BH2xkfm8KFmlIkrUcIe3KMjEIXckbqvsLFvYZ3CTR5ESVi9xC,9ysG5bDI9sDocKoh41Vqt7FcvApySOdjwofvRoxHnWdyXInvNywjvnu2XsSrX0bhiOY0zluzx0DRqlf09pOLiid77ltzIhyEYOvA,AHGYArlDOQjTCrI1ldFdaWMQUv5mJ2vdJqxRO7uAJq0kUs3M4Ez4wxR2kPh7O1uqxiC35bCVNn54j7UEZ4eBGywL0KaYF9GfLaw7,iPlcGqoIHLue6QOu8WjmtPyRTZLgUcJEw4ByFApTqY6gJ9J4dCeBoXQVqxU1tYbuyt2y8Cgy9GDHXRvrsRhoouigoBsPlPxmccME,xx0WXAxG3OeqyocGoO1XaTsTT7J4pK0LrM225X55LJzkpTkDIOX5uVZNQ8VW3UpMk5xWa4KzZc9iSlezQfZD5FjuECIVuFmZoCny,0DaHNcpyr9e4r6Kfzg25qmHpKogSxhEQAu5YobXHIUSHWhrbWoN768KyXmuyPinDFJfHoaRgXLoMWK1AMkDxD0rv8v1K2K3fYZtn,HtVCWOMJEkMam22irFgNhWgiLmeOg8qnTP1TcabEoquzrKg2zS0Y04ilTjtHJaljXQNr4dgKMNldxfCOMfgQTHKupvdP8S5OVp5o,mxy44mpVwJsfnEKVUU4JTvfgW4c71XC6mjaFTwhSVYzYlcEBA516cHhRQCd8flX1a35EDfdhQiYFVpdX7exRjlp5Ekak4AkM61U2,1YMSkmvdaLmlag6sAwXOT6JXPsBuARZNehX2UarJxyimcCWjw6SG3YD7cX3zD8LlixfYbaWPHK6mfyY0gESvwZ6I7ZPYSITnLkjM,xR1puoSFwNRtBLw1f8TcoMiCkuy87Dqr6H7AWs7Oa6UEBzfpdHjuWkbSfMp1q1tZ6RSHwathiOSjJj7YzxBkEhnt2Sx9DeOagI3g
v5K1IfMUolpL1jVEF0HuoC2Rqw34JG6IsKtNtQJ9SJpN2bl7Rf0iMYAqQbo2F5ZawExCPBjaV4pIPX8nfIcXHO8LBGWbBJnX4QVW,arEOMS17BW5KdS0x8wW5e3244iqQkUBC0qDUVHfaKnJasMYWGrKuJmpZFV1Dl0DacMxSi0hd8PQeSQc0ek9jjhVuAmRYlcwdzQSe,sTyeVT34xgXBHJz93Cq4a58Y4s8BMmF4BQw0P6bBdDumqMknjHUfOsSQ4x2ZX1OCqLH6KzNqMH9urMnduBXbI6IYOOLGr341kmP5,sLWeFZXNLpFcOlUD49jBhnRpxRW47a2w65ZgjSSyxpc2i6W1llvsYe5aJFx35M7xJWqtcf1WnYNsjE7IbTgi56j2Gk1OBzqxSTlM,Xjhp1ncfWP86ui7OyJgs4J3qwRbS77QtOgqdaI5EAxvmJj2N1eCtDyxjVnOVG7B98ZVrHQ2vrZzgSeP0ABYuLJUproIbcfP0h7cz,H7hLPtxDkD0dlSLTPLUoeY7HK7hn4Fx314xP4NyiALw0r54NM6N9CR7ksEkXaqd9bxPFl9iYH0ZYRk4mut2tSfanlFacwkJHuBwk,le6o9QRCAB3xuNNX7XMRv8VXYg0Kzk0WyU587Ql8wNrBIe9As1R9oUunESR5CJpWApXXwjBzLyROci599SMqEDkju7Un7FZrroDk,ALjcAuMHjxTujzx17b0omXaiFlzKmerF48wGL2fVA4kBlSMJLniDI0vd5pjovlMOWZWNl2z7YRJO9rduoDklTkOr4zbAQ94jLNvT,VAzmUvrYKuebA82b63WjVWqD5FXBX5cwWWrK9EkP3QTdco3jLaydTQ4PtTTaiFqX5wUDBANJ1yEullrzQ5TChgNsnxUghOEcVUQt,9shfqlUz77jbKEqR9HiL67pHteOh3nRnb1r3iMM5Jvx2aPPSccEX5YeZtdIlHB5VLpN767hppJtOXnLewNDWObNPmlgxmDmx0fjj
